time,discharge
0.0,1.1
0.08333333333333333,8.3
0.16666666666666666,16.7
0.25,25.0
0.3333333333333333,33.3
0.4166666666666667,41.7
0.5,50.0
0.5833333333333334,58.3
0.6666666666666666,66.7
0.75,75.0
0.8333333333333334,83.3
0.9166666666666666,91.7
1.0,100.0
1.0833333333333333,95.3
1.1666666666666667,90.6
1.25,85.9
1.3333333333333333,81.3
1.4166666666666667,76.6
1.5,71.9
1.5833333333333333,67.2
1.6666666666666667,62.5
1.75,57.8
1.8333333333333333,53.1
1.9166666666666667,48.4
2.0,43.8
2.0833333333333335,39.1
2.1666666666666665,34.4
2.25,29.7
2.3333333333333335,25.0
2.4166666666666665,20.3
2.5,15.6
2.5833333333333335,10.9
2.6666666666666665,6.3
2.75,1.6
2.8333333333333335,1.1
2.9166666666666665,1.1
3.0,1.1
3.0833333333333335,1.1
3.1666666666666665,1.1
3.25,1.1
3.3333333333333335,1.1
3.4166666666666665,1.1
3.5,1.1
3.5833333333333335,1.1
3.6666666666666665,1.1
3.75,1.1
3.8333333333333335,1.1
3.9166666666666665,1.1
4.0,1.1
4.083333333333333,1.1
4.166666666666667,1.1
4.25,1.1
4.333333333333333,1.1
4.416666666666667,1.1
4.5,1.1
4.583333333333333,1.1
4.666666666666667,1.1
4.75,1.1
4.833333333333333,1.1
4.916666666666667,1.1
5.0,1.1
27.77777777777778,1.1
