IMAX,JMAX,KMAX
37,9,2
I,J,K,X,Y,Z
8,8,1,0.884,-0.303,-0.01
9,8,1,0.97,-0.313,-0.011
10,8,1,1.056,-0.302,-0.012
11,8,1,1.141,-0.272,-0.013
12,8,1,1.226,-0.221,-0.015
13,8,1,1.313,-0.155,-0.016
14,8,1,1.407,-0.076,-0.017
15,8,1,1.514,0.005,-0.018
16,8,1,1.639,0.079,-0.02
17,8,1,1.783,0.131,-0.021
18,8,1,1.94,0.15,-0.022
19,8,1,2.097,0.131,-0.023
20,8,1,2.241,0.079,-0.024
21,8,1,2.366,0.005,-0.026
22,8,1,2.473,-0.076,-0.027
23,8,1,2.567,-0.155,-0.028
24,8,1,2.654,-0.221,-0.029
25,8,1,2.739,-0.272,-0.031
26,8,1,2.824,-0.303,-0.032
27,8,1,2.91,-0.313,-0.033
28,8,1,2.996,-0.302,-0.034
29,8,1,3.081,-0.272,-0.035
30,8,1,3.166,-0.221,-0.037
31,8,1,3.253,-0.155,-0.038
32,8,1,3.347,-0.076,-0.039
33,8,1,3.454,0.005,-0.04
34,8,1,3.579,0.079,-0.042
35,8,1,3.723,0.131,-0.043
36,8,1,3.88,0.15,-0.044
I ,  J ,  K , FLAGS
0, 0, 0, 0
1, 0, 0, 0
2, 0, 0, 0
3, 0, 0, 0
4, 0, 0, 0
5, 0, 0, 0
6, 0, 0, 0
7, 0, 0, 0
8, 0, 0, 0
9, 0, 0, 0
10, 0, 0, 0
11, 0, 0, 0
12, 0, 0, 0
13, 0, 0, 0
14, 0, 0, 0
15, 0, 0, 0
16, 0, 0, 0
17, 0, 0, 0
18, 0, 0, 0
19, 0, 0, 0
20, 0, 0, 0
21, 0, 0, 0
22, 0, 0, 0
23, 0, 0, 0
24, 0, 0, 0
25, 0, 0, 0
26, 0, 0, 0
27, 0, 0, 0
28, 0, 0, 0
29, 0, 0, 0
30, 0, 0, 0
31, 0, 0, 0
32, 0, 0, 0
33, 0, 0, 0
34, 0, 0, 0
35, 0, 0, 0
0, 1, 0, 0
1, 1, 0, 0
2, 1, 0, 0
3, 1, 0, 0
4, 1, 0, 0
5, 1, 0, 0
6, 1, 0, 0
7, 1, 0, 0
8, 1, 0, 0
9, 1, 0, 0
10, 1, 0, 0
11, 1, 0, 0
12, 1, 0, 0
13, 1, 0, 0
14, 1, 0, 0
15, 1, 0, 0
16, 1, 0, 0
17, 1, 0, 0
18, 1, 0, 0
19, 1, 0, 0
20, 1, 0, 0
21, 1, 0, 0
22, 1, 0, 0
23, 1, 0, 0
24, 1, 0, 0
25, 1, 0, 0
26, 1, 0, 0
27, 1, 0, 0
28, 1, 0, 0
29, 1, 0, 0
30, 1, 0, 0
31, 1, 0, 0
32, 1, 0, 0
33, 1, 0, 0
34, 1, 0, 0
35, 1, 0, 0
0, 2, 0, 0
1, 2, 0, 0
2, 2, 0, 0
3, 2, 0, 0
4, 2, 0, 0
5, 2, 0, 0
6, 2, 0, 0
7, 2, 0, 0
8, 2, 0, 0
9, 2, 0, 0
10, 2, 0, 0
11, 2, 0, 0
12, 2, 0, 0
13, 2, 0, 0
14, 2, 0, 0
15, 2, 0, 0
16, 2, 0, 0
17, 2, 0, 0
18, 2, 0, 0
19, 2, 0, 0
20, 2, 0, 0
21, 2, 0, 0
22, 2, 0, 0
23, 2, 0, 0
24, 2, 0, 0
25, 2, 0, 0
26, 2, 0, 0
27, 2, 0, 0
28, 2, 0, 0
29, 2, 0, 0
30, 2, 0, 0
31, 2, 0, 0
32, 2, 0, 0
33, 2, 0, 0
34, 2, 0, 0
35, 2, 0, 0
0, 3, 0, 0
1, 3, 0, 0
2, 3, 0, 0
3, 3, 0, 0
4, 3, 0, 0
5, 3, 0, 0
6, 3, 0, 0
7, 3, 0, 0
8, 3, 0, 0
9, 3, 0, 0
10, 3, 0, 0
11, 3, 0, 0
12, 3, 0, 0
13, 3, 0, 0
14, 3, 0, 0
15, 3, 0, 0
16, 3, 0, 0
17, 3, 0, 0
18, 3, 0, 0
19, 3, 0, 0
20, 3, 0, 0
21, 3, 0, 0
22, 3, 0, 0
23, 3, 0, 0
24, 3, 0, 0
25, 3, 0, 0
26, 3, 0, 0
27, 3, 0, 0
28, 3, 0, 0
29, 3, 0, 0
30, 3, 0, 0
31, 3, 0, 0
32, 3, 0, 0
33, 3, 0, 0
34, 3, 0, 0
35, 3, 0, 0
0, 4, 0, 0
1, 4, 0, 0
2, 4, 0, 0
3, 4, 0, 0
4, 4, 0, 0
5, 4, 0, 0
6, 4, 0, 0
7, 4, 0, 0
8, 4, 0, 0
9, 4, 0, 0
10, 4, 0, 0
11, 4, 0, 0
12, 4, 0, 0
13, 4, 0, 0
14, 4, 0, 0
15, 4, 0, 0
16, 4, 0, 0
17, 4, 0, 0
18, 4, 0, 0
19, 4, 0, 0
20, 4, 0, 0
21, 4, 0, 0
22, 4, 0, 0
23, 4, 0, 0
24, 4, 0, 0
25, 4, 0, 0
26, 4, 0, 0
27, 4, 0, 0
28, 4, 0, 0
29, 4, 0, 0
30, 4, 0, 0
31, 4, 0, 0
32, 4, 0, 0
33, 4, 0, 0
34, 4, 0, 0
35, 4, 0, 0
0, 5, 0, 0
1, 5, 0, 0
2, 5, 0, 0
3, 5, 0, 0
4, 5, 0, 0
5, 5, 0, 0
6, 5, 0, 0
7, 5, 0, 0
8, 5, 0, 0
9, 5, 0, 0
10, 5, 0, 0
11, 5, 0, 0
12, 5, 0, 0
13, 5, 0, 0
14, 5, 0, 0
15, 5, 0, 0
16, 5, 0, 0
17, 5, 0, 0
18, 5, 0, 0
19, 5, 0, 0
20, 5, 0, 0
21, 5, 0, 0
22, 5, 0, 0
23, 5, 0, 0
24, 5, 0, 0
25, 5, 0, 0
26, 5, 0, 0
27, 5, 0, 0
28, 5, 0, 0
29, 5, 0, 0
30, 5, 0, 0
31, 5, 0, 0
32, 5, 0, 0
33, 5, 0, 0
34, 5, 0, 0
35, 5, 0, 0
0, 6, 0, 0
1, 6, 0, 0
2, 6, 0, 0
3, 6, 0, 0
4, 6, 0, 0
5, 6, 0, 0
6, 6, 0, 0
7, 6, 0, 0
8, 6, 0, 0
9, 6, 0, 0
10, 6, 0, 0
11, 6, 0, 0
12, 6, 0, 0
13, 6, 0, 0
14, 6, 0, 0
15, 6, 0, 0
16, 6, 0, 0
17, 6, 0, 0
18, 6, 0, 0
19, 6, 0, 0
20, 6, 0, 0
21, 6, 0, 0
22, 6, 0, 0
23, 6, 0, 0
24, 6, 0, 0
25, 6, 0, 0
26, 6, 0, 0
27, 6, 0, 0
28, 6, 0, 0
29, 6, 0, 0
30, 6, 0, 0
31, 6, 0, 0
32, 6, 0, 0
33, 6, 0, 0
34, 6, 0, 0
35, 6, 0, 0
0, 7, 0, 0
1, 7, 0, 0
2, 7, 0, 0
3, 7, 0, 0
4, 7, 0, 0
5, 7, 0, 0
6, 7, 0, 0
7, 7, 0, 0
8, 7, 0, 0
9, 7, 0, 0
10, 7, 0, 0
11, 7, 0, 0
12, 7, 0, 0
13, 7, 0, 0
14, 7, 0, 0
15, 7, 0, 0
16, 7, 0, 0
17, 7, 0, 0
18, 7, 0, 0
19, 7, 0, 0
20, 7, 0, 0
21, 7, 0, 0
22, 7, 0, 0
23, 7, 0, 0
24, 7, 0, 0
25, 7, 0, 0
26, 7, 0, 0
27, 7, 0, 0
28, 7, 0, 0
29, 7, 0, 0
30, 7, 0, 0
31, 7, 0, 0
32, 7, 0, 0
33, 7, 0, 0
34, 7, 0, 0
35, 7, 0, 0
