# buffalo upstream
# near allen parkway
# approx. 4087 feet upstream of confluence
STATION ELEVATION MANNING_N
3604.2	46.74	0.2
3694.2	46.24	
3774.2	43.24	
3804.2	41.64	
3944.2	40.44	
4106.5	38.64	
4467.3	36.54	
4517.3	35.74	
4547.3	36.24	
4657.3	35.14	
4727.3	36.54	
4737.1	36.42	
4786	35.81	
4807.3	35.54	
4812.69	35.16	
4812.8	35.16	
4812.91	35.15	
4817.3	34.84	
4818.7	34.54	
4828.7	32.74	
4838.7	30.14	
4851.7	34.79	
4851.8	34.78	
4869.2	33.99	
4879.4	29.42	0.07
4881.9	28.29	
4882	28.25	
4882.11	28.2	
4882.2	28.16	
4905.3	17.8	
4921.7	10.01	
4926	8.95	
4926.1	8.93	
4933.4	8.3	
4933.7	11.5	
4934.6	8.13	0.04
4937.4	6.84	
4947.4	2.25	
4956	1.17	
4957.9	0.35	
4965.2	-3	
4983.3	-7.73	
4992.6	-9.93	
4996.3	-10.52	
5002.5	-11.52	
5020.1	-5.95	
5027.5	-3.96	
5032	-2.98	
5032.2	-2.92	
5035.5	-1.94	
5042	0.34	
5046.9	2.14	
5056.7	5.42	
5090.6	17.19	
5106	22.54	0.07
5108.9	22.71	
5119.5	23.01	
5133	22.72	
5138.4	23.7	
5139.79	23.95	
5139.9	23.97	
5140.01	23.99	
5154.6	26.63	
5154.7	26.62	
5159.2	26	0.2
5187.6	22.14	
5188.7	25.44	
5198.7	28.64	
5218.7	33.54	
5225	34.74	
5245	40.24	
5261.2	40.43	
5261.29	40.43	
5261.4	40.43	
5261.5	40.43	
5305	40.94	
5326.9	40.34	
5365.9	40.73	
5366.9	40.74	
5396.9	40.74	
5416.9	41.54	
5426.9	41.44	
5436.8	40.44	
5466.8	39.54	
5626.8	42.34	
5666.8	44.74	
5706.8	45.64	
5768	47.24	
5828	47.44	
