# WhiteOakBayou I-45 N Ramp 
# cross section 4
# approx 6602 feet upstream of confluence
STATION  ELEVATION  MANNING_N  
4247.7	50.48	0.05
4257.7	48.13	
4267.7	45.44	
4277.7	41.1	
4287.7	37.37	
4297.7	33.89	
4307.7	32.78	
4317.7	32.5	
4327.7	32.54	
4337.7	32.25	
4347.7	31.64	
4357.7	30.49	
4367.7	30.32	
4377.7	31.14	
4397.7	36.41	
4407.7	38.57	
4417.7	39.65	
4427.7	40.3	
4467.7	40.71	
4477.7	40.4	
4487.7	38.43	
4497.7	36.25	
4507.7	33.65	
4517.7	30.79	
4527.7	28.18	
4547.7	23.55	
4557.7	21.52	
4567.7	20.14	
4577.7	19.23	
4587.7	18.82	
4617.7	16.53	
4651.6	15.86	
4731.6	14.61	
4801.6	16.1	
4851.6	16.11	
4893.6	15.17	
4903.6	15.01	
4935.3	13.21	
4947.51	12.24	
4949.28	12.14	
4960.01	10.77	0.015
4963.39	10.2	
4967.88	9.07	
4982.44	-0.3	
4984.71	-1.72	
4986.11	-2.47	
4987.24	-2.94	
4992.7	-3.18	
4993.75	-3.3	
5000	-4.3	
5000.86	-4.1	
5001.13	-3.99	
5003.39	-3.29	
5008.5	-3.11	
5010.89	-1.91	
5013.03	-0.74	
5019.05	2.47	
5021.77	3.92	
5025.43	5.69	
5026.05	5.79	
5032	7.19	
5035.85	8.14	
5043.6	10.81	0.05
5063.6	13.97	
5073.6	14.42	
5083.6	14.17	
5093.6	14.2	
5103.6	15.48	
5123.6	20.42	
5153.6	28.69	
5163.6	30.96	
5173.6	31.69	
5212.4	29.67	
5222.4	29.3	
5232.4	29.16	
5242.4	29.62	
5252.4	31.89	
5262.4	35.02	
5272.4	37.34	
5292.4	41.72	
5312.4	45.74	
5322.4	47.16	
5332.4	47.59	
5342.4	47.75	
5362.4	47.28	
5382.4	44.52	
5392.4	43.7	
5402.4	43.35	
5422.4	45.98	
5432.4	46.48	
5492.4	43.71	
5502.4	43.02	
5532.4	39.7	
5542.4	39.06	
5552.4	39.08	
5562.4	39.32	
5582.4	40.47	0.99
5722.4	38.58	
5742.4	39.05	
5782.4	38.24	
5822.4	38.03	
5832.4	38.19	
5842.4	38.61	
5852.4	39.29	
5862.4	39.5	
5872.4	39.41	
5942.4	40.78	
5972.4	40.39	
5982.4	40.47	
5992.4	40.98	
6112.4	42.24	
6122.4	42.13	
6132.4	41.71	
6202.4	41.44	
6222.4	42.09	
6242.4	42.14	
6252.4	41.96	
6262.4	42.11	
6272.4	42.53	
6392.4	43.41	
6472.4	46.12	
6521.7	46.47	
